Element	English	Macedonian
Titanium	From the Latin <i>titans</i>, the first sons of the Earth, Greek mythology	Од латинскиот <i>titans</i>, првите синови на Земјата, грчка митологија
Vanadium	Named after Scandinavian goddess, Vanadis	Именуван по скандинавската богинка Ванадис
Chromium	From the Greek word <i>chroma</i>, color	Од грчкиот збор <i>chroma</i>, боја
Manganese	From the Latin word <i>magnes</i>, magnet, from magnetic properties of pyrolusite	Од латинскиот збор <i>magnes</i>, магнет, поради магнетните својства на пиролузит
Iron	From the Latin word <i>ferrum</i>	Од латинскиот збор <i>ferrum</i>
Cobalt	From the German word <i>Kobald</i>, goblin or evil spirit; also from the Greek <i>cobalos</i>, mine	Од германскиот збор <i>Kobald</i>, гоблин или злиот дух; исто така од грчкиот <i>cobalos</i>, рудник
Nickel	From the German word <i>Nickel</i> (Satan), and from kupfernickel, Old Nick's copper	Од германскиот збор <i>Nickel</i> (Сатана), и од купферникел, бакарот на Стариот Ник
Copper	From the Latin word <i>cuprum</i>, from the island of Cyprus	Од латинскиот збор <i>cuprum</i>, од островот Кипар
Zinc	From the German word <i>Zink</i>, of obscure origin	Од германскиот збор <i>Zink</i>, со нејасно потекло
Gallium	From the Latin word <i>Gallia</i>, France; also from Latin, <i>gallus</i>, a translation of Lecoq, a cock	Од латинскиот збор <i>Gallia</i>, Франција; исто така од латинскиот <i>gallus</i>, превод на Lecoq, петел
Germanium	From the Latin word <i>Germania</i>, Germany	Од латинскиот збор <i>Germania</i>, Германија
Arsenic	From the Latin word <i>arsenicum</i>, Greek <i>arsenikon</i>	Од латинскиот збор <i>arsenicum</i>, грчки <i>arsenikon</i>
Selenium	From the Greek word <i>Selene</i>, moon	Од грчкиот збор <i>Selene</i>, месечина
Bromine	From the Greek word <i>bromos</i>, stench	Од грчкиот збор <i>bromos</i>, смрдеж
Krypton	From the Greek word <i>kryptos</i>, hidden	Од грчкиот збор <i>kryptos</i>, скриен
Rubidium	From the Latin word <i>rubidus</i>, deepest red	Од латинскиот збор <i>rubidus</i>, најтемно црвено
Strontium	Named after Strontian, a town in Scotland	Именуван по Стронтијан, град во Шкотска
Yttrium	Named after Ytterby, a village in Sweden near Vauxholm	Именуван по Итерби, село во Шведска близу Ваксхолм
Zirconium	From the Persian <i>zargun</i>, gold like	Од персискиот <i>zargun</i>, налик на злато
Niobium	Named after Niobe, the daughter of Tantalu	Именуван по Ниоба, ќерката на Тантал
Molybdenum	From the Greek word <i>molybdo</i>, lead	Од грчкиот збор <i>molybdo</i>, олово
Technetium	From the Greek word <i>technetos</i>, artificial	Од грчкиот збор <i>technetos</i>, вештачки
Ruthenium	From the Latin word <i>Ruthenia</i>, Russia	Од латинскиот збор <i>Ruthenia</i>, Русија
Rhodium	From the Greek word <i>rhodon</i>, rose	Од грчкиот збор <i>rhodon</i>, роза
Palladium	Palladium was named after the asteroid Pallas; Pallas was the Greek goddess of wisdom	Паладиумот е именуван по астероидот Палас; Палас беше грчката богинка на мудроста
Silver	The Latin word for silver is <i>argentum</i>	Латинскиот збор за сребро е <i>argentum</i>
Cadmium	From the Latin word <i>cadmia</i>, Greek <i>kadmeia</i> - the ancient name for calamine, zinc carbonate	Од латинскиот збор <i>cadmia</i>, грчки <i>kadmeia</i> - античкото име за каламин, цинк карбонат
Indium	From the brilliant indigo line in its spectrum	Од брилијантната индиго линија во неговиот спектар
Tin	The Latin word for tin is stannum	Латинскиот збор за калај е stannum
Antimony	From the Greek word <i>anti</i> plus <i>monos</i> - a metal not found alone	Од грчкиот збор <i>anti</i> плус <i>monos</i> - метал кој не се наоѓа сам
Tellurium	From the Latin word <i>tellus</i>, earth	Од латинскиот збор <i>tellus</i>, земја
Iodine	From the Greek word <i>iodes</i>, violet	Од грчкиот збор <i>iodes</i>, виолетова
Xenon	From the Greek word <i>xenon</i>, stranger	Од грчкиот збор <i>xenon</i>, странец
Caesium	From the Latin word <i>caesius</i>, sky blue	Од латинскиот збор <i>caesius</i>, небесно сина
Barium	From the Greek word <i>barys</i>, heavy	Од грчкиот збор <i>barys</i>, тешко
Lanthanum	From the Greek word <i>lanthanein</i>, to lie hidden	Од грчкиот збор <i>lanthanein</i>, да лежи скриен
Cerium	Cerium was named for the asteroid Ceres	Цериумот е именуван по астероидот Церера
Praseodymium	From the Greek word <i>prasios</i>, green, and <i>didymos</i>, twin	Од грчкиот збор <i>prasios</i>, зелена, и <i>didymos</i>, близнак
Neodymium	From the Greek word <i>neos</i> meaning new, and <i>didymos</i>, twin	Од грчкиот збор <i>neos</i> со значење нов, и <i>didymos</i>, близнак
Promethium	Named after the Greek <i>Prometheus</i>, who, according to mythology, stole fire from heaven	Именуван по грчкиот <i>Прометеј</i>, кој според митологијата украл оган од небото
Samarium	From <i>samarskite</i>, a mineral named after Russian mine official, Col. Samarski	Од <i>samarskite</i>, минерал именуван по рускиот руднички службеник, пол. Самарски
Europium	Europium was named after Europe	Европиумот е именуван по Европа
Gadolinium	From <i>gadolinite</i>, a mineral named for Gadolin, a Finnish chemist	Од <i>gadolinite</i>, минерал именуван по Гадолин, фински хемичар
Terbium	Terbium was named after Ytterby, a town in Sweden	Тербиумот е именуван по Итерби, град во Шведска
Dysprosium	From the Greek word <i>dysprositos</i>, meaning hard to get at	Од грчкиот збор <i>dysprositos</i>, со значење тешко да се дојде до него
Holmium	From the Latin word <i>Holmia</i> meaning Stockholm	Од латинскиот збор <i>Holmia</i> со значење Стокхолм
Erbium	Erbium was named after Ytterby, a town in Sweden	Ербиумот е именуван по Итерби, град во Шведска
Thulium	Named after <i>Thule</i>, the earliest name for Scandinavia	Именуван по <i>Туле</i>, најраното име за Скандинавија
Ytterbium	Ytterbium was named after Ytterby, a town in Sweden	Итербиумот е именуван по Итерби, град во Шведска
Lutetium	Lutetia is the ancient name for Paris	Лутеција е античкото име за Париз
Hafnium	From <i>Hafinia</i>, the Latin name for Copenhagen	Од <i>Hafinia</i>, латинското име за Копенхаген
Tantalum	Named after <i>Tantalos</i>, a Greek mythological character, father of Niobe	Именуван по <i>Тантал</i>, грчки митолошки лик, татко на Ниоба
Tungsten	From Swedish, <i>tung sten</i> meaning heavy stone	Од шведскиот <i>tung sten</i> со значење тежок камен
Rhenium	From the Latin word <i>Rhenus</i> meaning Rhine	Од латинскиот збор <i>Rhenus</i> со значење Рајна
Osmium	From the Greek word <i>osme</i>, meaning smell	Од грчкиот збор <i>osme</i>, со значење мирис
Iridium	From the Latin word <i>iris</i> meaning rainbow	Од латинскиот збор <i>iris</i> со значење виножито
Platinum	From the Spanish word <i>platina</i>, meaning silver	Од шпанскиот збор <i>platina</i>, со значење сребро
Gold	From the Latin word <i>aurum</i> meaning gold	Од латинскиот збор <i>aurum</i> со значење злато
Mercury	From the Latin word <i>hydrargyrum</i> meaning liquid silver	Од латинскиот збор <i>hydrargyrum</i> со значење течно сребро
Thallium	From Greek <i>thallos</i>, meanin a green shoot or twig	Од грчкиот <i>thallos</i>, со значење зелена гранка или гранче
Lead	From the Latin word <i>plumbum</i>	Од латинскиот збор <i>plumbum</i>
Bismuth	From the German <i>Weisse Masse</i>, meaning white mass	Од германскиот <i>Weisse Masse</i>, со значење бела маса
Polonium	Named after Poland, native country of Madam Curie	Именуван по Полска, родната земја на Мадам Кири
Astatine	From the Greek <i>astatos</i> meaning unstable	Од грчкиот <i>astatos</i> со значење нестабилен
Radon	The name was derived from <i>radium</i>; called niton at first, from the Latin word <i>nitens</i> meaning shining	Името е изведено од <i>радиум</i>; прво наречен нитон, од латинскиот збор <i>nitens</i> со значење сјаен
Francium	Francium was named after France	Францiumот е именуван по Франција
Radium	From the Latin word <i>radius</i> meaning ray	Од латинскиот збор <i>radius</i> со значење зрак
Actinium	From the Greek <i>aktis, aktinos</i>, meaning beam or ray	Од грчкиот <i>aktis, aktinos</i>, со значење зрак или сноп
Thorium	Named after <i>Thor</i>, Scandinavian god of war	Именуван по <i>Тор</i>, скандинавскиот бог на војната
Protactinium	From the Greek <i>protos</i> meaning first	Од грчкиот <i>protos</i> со значење прв
Uranium	Named after the planet Uranus	Именуван по планетата Уран
Neptunium	Named after the planet Neptune	Именуван по планетата Нептун
Plutonium	Named after the planet Pluto	Именуван по планетата Плутон
Americium	Named after America	Именуван по Америка
Curium	Curium is named after Madame Curie and her husband Pierre Curie	Кириумот е именуван по Мадам Кири и нејзиниот сопруг Пјер Кири
Berkelium	Named after Berkeley, California, the city of its discovery	Именуван по Беркли, Калифорнија, градот на неговото откривање
Californium	Named after California and the University of California	Именуван по Калифорнија и Универзитетот во Калифорнија
Einsteinium	Named after Albert Einstein	Именуван по Алберт Ајнштајн
Fermium	Named after Nobel laureate Enrico Fermi, one of the pioneers of nuclear physics	Именуван по нобеловецот Енрико Ферми, еден од пионерите на нуклеарната физика
Mendelevium	Named after Dmitri Mendeleev, who created the Periodic Table	Именуван по Дмитри Менделеев, кој го создал Периодниот систем
Nobelium	Named after of Alfred Nobel, Swedish chemist who discovered dynamite and founder of the Nobel Prizes	Именуван по Алфред Нобел, шведски хемичар кој го открил динамитот и основач на Нобеловите награди
Lawrencium	Named after Ernest O. Lawrence, inventor of the cyclotron	Именуван по Ernest O. Lawrence, пронаоѓач на циклотронот
Rutherfordium	Named after Ernest Rutherford, the physicist and chemist from New Zealand	Именуван по Ernest Rutherford, физичарот и хемичарот од Нов Зеланд
Dubnium	Named after the Russian town of Dubna	Именуван по рускиот град Дубна
Seaborgium	Named after Glenn Seaborg, American nuclear chemist and Nobel prize winner	Именуван по Glenn Seaborg, американски нуклеарен хемичар и добитник на Нобелова награда
Bohrium	Named after Niels Bohr, the Danish physicist	Именуван по Нилс Бор, данскиот физичар
Hassium	From the Latin word <i>Hassias</i> meaning Hess, the German state	Од латинскиот збор <i>Hassias</i> со значење Хесен, германската покраина
Meitnerium	Named after Lise Meitner, the Austrian physicist	Именуван по Лизе Мајтнер, австриската физичарка
Darmstadtium	Named after the German city of Darmstadt	Именуван по германскиот град Дармштат
Roentgenium	Named after Wilhelm Conrad Röntgen, the German physicist	Именуван по Wilhelm Conrad Röntgen, германскиот физичар
Copernicium	Named after the astronomer Nicolaus Copernicus	Именуван по астрономот Николај Коперник
Nihonium	The name comes from the common Japanese name for Japan	Името доаѓа од вообичаеното јапонско име за Јапонија
Flerovium	Named after the founder of the Flerov Laboratory of Nuclear Reactions, the Soviet physicist Georgy Flyorov	Именуван по основачот на Лабораторијата за нуклеарни реакции Флеров, советскиот физичар Georgy Flyorov
Moscovium	Named after Moscow Oblast where Dubna is located	Именуван по Московска Област каде се наоѓа Дубна
Livermorium	Named after the Lawrence Livermore National Laboratory, within the city of Livermore, California	Именуван по Националната лабораторија Lawrence Livermore, во градот Ливермор, Калифорнија
Tennessine	Named after the region of Tennessee	Именуван по регионот Тенеси
Oganesson	Named after the Russian nuclear physicist Yuri Oganessian	Именуван по рускиот нуклеарен физичар Yuri Oganessian
		
Hydrogen	Henry Cavendish was the first to distinguish hydrogen from other gases in 1766 when he prepared it by reacting hydrochloric acid with zinc.<br><br>In 1670, English scientist Robert Boyle had observed its production by reacting strong acids with metals.<br><br>French scientist Antoine Lavoisier later named the element hydrogen in 1783.	Хенри Кавендиш беше првиот кој го разликувал водородот од другите гасови во 1766 година кога го приготвил со реакција на хлороводородна киселина со цинк.<br><br>Во 1670 година, англискиот научник Robert Boyle го забележал неговото производство со реакција на силни киселини со метали.<br><br>Францускиот научник Antoine Lavoisier подоцна го именувал елементот водород во 1783 година.
Helium	French astronomer Jules Janssen obtained the first evidence of helium during the solar eclipse of 1868.<br><br>Norman Lockyer and Edward Frankland suggested the name helium for the new element.<br><br>In 1895, Sir William Ramsay discovered helium in the uranium mineral cleveite.<br><br>It was independently discovered in cleveite by Per Teodor Cleve and Abraham Langlet.	Францускиот астроном Jules Janssen добил прв доказ за хелиум за време на сончевото затемнување во 1868 година.<br><br>Norman Lockyer и Edward Frankland предложиле името хелиум за новиот елемент.<br><br>Во 1895 година, Sir William Ramsay го открил хелиумот во ураниумниот минерал клевеит.<br><br>Независно бил открен во клевеит од Per Teodor Cleve и Abraham Langlet.
Lithium	Lithium was discovered by Johann Arfvedson in 1817 when he was analyzing minerals from the island of Uto in Sweden.<br><br>The pure metal was isolated the following year by both Swedish chemist William Thomas Brande and English chemist Sir Humphry Davy working independently.<br><br>In 1855, larger quantities of lithium were produced through the electrolysis of lithium chloride by Robert Bunsen and Augustus Matthiessen.	Литиумот го открил Johann Arfvedson во 1817 година додека анализирал минерали од островот Уто во Шведска.<br><br>Чистиот метал бил изолиран следната година од шведскиот хемичар William Thomas Brande и англискиот хемичар Sir Humphry Davy кои работеле независно.<br><br>Во 1855 година, поголеми количини на литиум биле произведени преку електролиза на литиум хлорид од страна на Robert Bunsen и Augustus Matthiessen.
Beryllium	Louis-Nicolas Vauquelin discovered beryllium in the oxide form in both beryl and emeralds in 1798.<br><br>Friedrich Wöhler and Antoine Bussy independently isolated beryllium in 1828 by the chemical reaction of metallic potassium with beryllium chloride.<br><br>The first commercially-successful process for producing beryllium was developed in 1932 by Alfred Stock and Hans Goldschmidt.	Louis-Nicolas Vauquelin го открил бериліумот во оксидна форма и во берил и во смарагди во 1798 година.<br><br>Friedrich Wöhler и Antoine Bussy независно го изолирале бериліумот во 1828 година преку хемиска реакција на метален калиум со бериліум хлорид.<br><br>Првиот комерцијално успешен процес за производство на бериліум бил развиен во 1932 година од Alfred Stock и Hans Goldschmidt.
Boron	Boron compounds have been known for thousands of years, but the element was not discovered until 1808 by Sir Humphry Davy and by Gay-Lussac and Thenard.<br><br>Boron was not recognized as an element until it was isolated in 1808 by Sir Humphry Davy and by Joseph Louis Gay-Lussac and Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius identified boron as an element in 1824.	Борните соединенија биле познати илјадници години, но елементот не бил открен сè до 1808 година од Sir Humphry Davy и од Gay-Lussac и Thenard.<br><br>Борот не бил препознаен како елемент додека не бил изолиран во 1808 година од Sir Humphry Davy и од Joseph Louis Gay-Lussac и Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius го идентификувал борот како елемент во 1824 година.
Carbon	Carbon was discovered in prehistory and was known in the forms of soot and charcoal to the earliest human civilizations.<br><br>In 1772, Antoine Lavoisier showed that diamonds are a form of carbon; when he burned samples of charcoal and diamond and found that neither produced any water.<br><br>In 1779, Carl Wilhelm Scheele showed that graphite burned to form carbon dioxide and so must be another form of carbon.	Јаглеродот бил открен во праисторијата и бил познат во форми на чад и јаглен на најраните човечки цивилизации.<br><br>Во 1772 година, Antoine Lavoisier покажал дека дијамантите се форма на јаглерод; кога ги запалил примероците на јаглен и дијамант и утврдил дека ниту еден не произвел вода.<br><br>Во 1779 година, Carl Wilhelm Scheele покажал дека графитот гори и формира јаглерод диоксид и затоа мора да биде уште една форма на јаглерод.
Nitrogen	Nitrogen is considered to have been discovered by Scottish physician Daniel Rutherford in 1772, who called it noxious air or fixed air.<br><br>It was also studied at about the same time by Carl Wilhelm Scheele, Henry Cavendish and Joseph Priestley.<br><br>In 1790 the French chemist Jean-Antoine-Claude Chaptal named the element nitrogen.	Азотот се смета дека бил открен од шкотскиот лекар Daniel Rutherford во 1772 година, кој го нарекол штетен воздух или фиксиран воздух.<br><br>Го проучувале истовремено и Carl Wilhelm Scheele, Henry Cavendish и Joseph Priestley.<br><br>Во 1790 година францускиот хемичар Jean-Antoine-Claude Chaptal го именувал елементот азот.
Oxygen	Carl Wilhelm Scheele obtained oxygen by heating mercuric oxide and nitrates in 1771, but did not publish his findings until 1777.<br><br>Joseph Priestley also prepared this new air by 1774.<br><br>The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion.	Carl Wilhelm Scheele добил кислород со загревање на жива оксид и нитрати во 1771 година, но не ги објавил наодите сè до 1777 година.<br><br>Joseph Priestley исто така го приготвил овој нов воздух до 1774 година.<br><br>Името кислород го создал во 1777 година Antoine Lavoisier, чии експерименти со кислород помогнале да се дискредитира тогашно популарната теорија на флогистон за согорување и корозија.
Fluorine	In 1529, Georigius Agricola described the use of fluorspar as a flux.<br><br>In 1670 Heinrich Schwandhard found that glass was etched when exposed to fluorspar treated with acid.<br><br>In 1810, French scientist Andre-Marie Ampere proposed that fluoric acid was a compound of hydrogen with a new element.<br><br>The element was finally isolated in 1886 by Henri Moissan.	Во 1529 година, Georigius Agricola го опишал користењето на флуорспат како флукс.<br><br>Во 1670 година Heinrich Schwandhard открил дека стаклото се нагризува кога е изложено на флуорспат третиран со киселина.<br><br>Во 1810 година, францускиот научник Andre-Marie Ampere предложил дека флуорна киселина е соединение на водород со нов елемент.<br><br>Елементот конечно бил изолиран во 1886 година од Henri Moissan.
Neon	Neon was discovered in 1898 by the British chemists Sir William Ramsay and Morris W. Travers in London.<br><br>It was discovered when Ramsay chilled a sample of air until it became a liquid, then warmed the liquid and captured the gases as they boiled off.<br><br>After 1902, Georges Claude's company, Air Liquide, was producing industrial quantities of neon as a byproduct of his air liquefaction business.	Неонот бил открен во 1898 година од британските хемичари Sir William Ramsay и Morris W. Travers во Лондон.<br><br>Бил открен кога Ramsay го изладил примерок на воздух додека не станал течност, потоа ја загреал течноста и ги собрал гасовите додека испарувале.<br><br>По 1902 година, компанијата на Georges Claude, Air Liquide, произведувала индустриски количини на неон како нуспроизвод на неговиот бизнис со втечнување на воздух.
Sodium	The chemical abbreviation for sodium was first published by Jöns Jakob Berzelius in his system of atomic symbols.<br><br>It is a contraction of the element's new Latin name <i>natrium</i>, which refers to the Egyptian <i>natron</i>, a natural mineral salt primarily made of hydrated sodium carbonate.<br><br>In 1807, Sir Humphry Davy isolated sodium for the first time by electrolysis of dried sodium hydroxide, which had been very slightly moistened.	Хемиската кратенка за натриум прво ја објавил Jöns Jakob Berzelius во неговиот систем на атомски симболи.<br><br>Тоа е скратеница на новолатинското име на елементот <i>natrium</i>, кое се однесува на египетскиот <i>natron</i>, природна минерална сол составена главно од хидратиран натриум карбонат.<br><br>Во 1807 година, Sir Humphry Davy го изолирал натриумот за прв пат со електролиза на сушен натриум хидроксид, кој бил многу малку навлажнет.
Magnesium	Scottish chemist Joseph Black recognized magnesium as an element in 1755.<br><br>Magnesium was first isolated by Sir Humphry Davy in 1808, in London.<br><br>He used electrolysis on a mixture of magnesia and mercuric oxide.<br><br>Antoine Bussy prepared it in coherent form in 1831.	Шкотскиот хемичар Joseph Black го препознал магнезиумот како елемент во 1755 година.<br><br>Магнезиумот прво бил изолиран од Sir Humphry Davy во 1808 година, во Лондон.<br><br>Тој користел електролиза на мешавина од магнезија и жива оксид.<br><br>Antoine Bussy го приготвил во кохерентна форма во 1831 година.
Aluminium	In 1761, Guyton de Morveau proposed the name alumine for the base in alum, and Antoine Lavoisier, in 1787, thought this to be the oxide of a still undiscovered metal.<br><br>Sir Humphry Davy identified the existence of a metal base of alum in 1808.<br><br>Hans Christian Ørsted was the first to isolate metallic aluminum in 1825 in impure form.<br><br>Friedrich Wöhler is generally credited with having isolated the metal in 1827.	Во 1761 година, Guyton de Morveau го предложил името алумин за базата во алум, а Antoine Lavoisier, во 1787 година, сметал дека тоа е оксид на сè уште неоткриен метал.<br><br>Sir Humphry Davy ја идентификувал егзистенцијата на метална основа на алум во 1808 година.<br><br>Hans Christian Ørsted бил прв кој го изолирал металниот алуминиум во 1825 година во нечиста форма.<br><br>Friedrich Wöhler генерално му се припишува изолирањето на металот во 1827 година.
Silicon	In 1800, Sir Humphry Davy thought silica to be a compound and not an element; but in 1811, Gay Lussac and Louis Jacques Thénard probably prepared impure amorphous silicon by heating potassium with silicon tetrafluoride.<br><br>In 1824 Jöns Jakob Berzelius prepared amorphous silicon by the same general method.<br><br>Henri Deville in 1854 first prepared crystalline silicon, the second allotropic form of the element.	Во 1800 година, Sir Humphry Davy сметал дека силицата е соединение, а не елемент; но во 1811 година, Gay Lussac и Louis Jacques Thénard веројатно приготвиле нечист аморфен силициум со загревање на калиум со силициум тетрафлуорид.<br><br>Во 1824 година Jöns Jakob Berzelius го приготвил аморфниот силициум со истата општа метода.<br><br>Henri Deville во 1854 година прв го приготвил кристалниот силициум, втората алотропска форма на елементот.
Phosphorus	Hennig Brand discovered phosphorus in 1669, in Hamburg, Germany, preparing it from urine.<br><br>In 1769, Johan Gottlieb Gahn and Carl Wilhelm Scheele showed that calcium phosphate is found in bones, and they obtained elemental phosphorus from bone ash.<br><br>Antoine Lavoisier recognized phosphorus as an element in 1777.	Hennig Brand го открил фосфорот во 1669 година, во Хамбург, Германија, приготвувајќи го од урина.<br><br>Во 1769 година, Johan Gottlieb Gahn и Carl Wilhelm Scheele покажале дека калциум фосфатот се наоѓа во коските и добиле елементарен фосфор од коскен пепел.<br><br>Antoine Lavoisier го препознал фосфорот како елемент во 1777 година.
Sulfur	By the 3rd century, the Chinese discovered that sulfur could be extracted from pyrite.<br><br>Indian alchemists wrote extensively about the use of sulfur in alchemical operations with mercury, from the eighth century AD onwards.<br><br>In 1777, Antoine Lavoisier helped convince the scientific community that sulfur was an element, not a compound.	До 3. век, Кинезите открија дека сулфурот може да се извлече од пирит.<br><br>Индиските алхемичари пишувале опширно за употребата на сулфурот во алхемиски операции со жива, од осмиот век н.е. па натаму.<br><br>Во 1777 година, Antoine Lavoisier помогнал да ја убеди научната заедница дека сулфурот е елемент, а не соединение.
Chlorine	Around 1630, chlorine was recognized as a gas by the Belgian chemist and physician Jan Baptist van Helmont.<br><br>Elemental chlorine was first prepared and studied in 1774 by Swedish chemist Carl Wilhelm Scheele.<br><br>By 1810, the scientific consensus was that chlorine was actually a compound that contained oxygen.<br><br>In 1811, Sir Humphry Davy concluded the new gas was in fact a new element.	Околу 1630 година, хлорот бил препознаен како гас од белгискиот хемичар и лекар Jan Baptist van Helmont.<br><br>Елементарниот хлор прво бил приготвен и проучуван во 1774 година од шведскиот хемичар Carl Wilhelm Scheele.<br><br>До 1810 година, научниот консензус бил дека хлорот всушност е соединение кое содржи кислород.<br><br>Во 1811 година, Sir Humphry Davy заклучил дека новиот гас всушност е нов елемент.
Argon	Argon was suspected to be present in air by Henry Cavendish in 1785.<br><br>It was not isolated until 1894 by Lord Rayleigh and Sir William Ramsay in Scotland.<br><br>Argon became the first member of the noble gases to be discovered.<br><br>In 1957, IUPAC agreed that the symbol should change from A to Ar.	Аргонот се претпоставувало дека е присутен во воздухот од Henry Cavendish во 1785 година.<br><br>Не бил изолиран сè до 1894 година од Lord Rayleigh и Sir William Ramsay во Шкотска.<br><br>Аргонот станал прв член на благородните гасови кој бил открен.<br><br>Во 1957 година, IUPAC се согласил дека симболот треба да се промени од A во Ar.
Potassium	Potassium's symbol K comes from 'kalium' the name of the element in Germany and Scandinavia.<br><br>Potassium metal was first isolated in 1807 by Sir Humphry Davy, who derived it from caustic potash by the use of electrolysis of the molten salt with the newly discovered voltaic pile.<br><br>Potassium was the first metal that was isolated by electrolysis.	Симболот К на калиумот доаѓа од 'kalium', името на елементот во Германија и Скандинавија.<br><br>Металниот калиум прво бил изолиран во 1807 година од Sir Humphry Davy, кој го добил од каустична поташа со употреба на електролиза на растопената сол со ново откриената волтаична ќелија.<br><br>Калиумот бил прв метал кој бил изолиран со електролиза.
Calcium	Calcium was known as early as the first century when the Ancient Romans prepared lime as calcium oxide.<br><br>Calcium was first isolated by Sir Humphry Davy in 1808 when he electrolyzed a mixture of lime and mercuric oxide.<br><br>Davy was trying to isolate calcium; when he heard that Jöns Jakob Berzelius and Pontin prepared calcium amalgam by electrolyzing lime in mercury, he tried it himself.	Калциумот бил познат уште во прв век кога Античките Римјани приготвувале вар како калциум оксид.<br><br>Калциумот прво бил изолиран од Sir Humphry Davy во 1808 година кога електролизирал мешавина од вар и жива оксид.<br><br>Davy се обидувал да го изолира калциумот; кога слушнал дека Jöns Jakob Berzelius и Pontin приготвиле калциум амалгам со електролиза на вар во жива, тој самиот го пробал.
Scandium	In 1879, Lars Fredrik Nilson and his team detected scandium in the minerals euxenite and gadolinite.<br><br>Nilson prepared 2 grams of scandium oxide of high purity.<br><br>Per Teodor Cleve showed that scandium had properties similar to those predicted by Mendeleev for eka-boron.<br><br>Metallic scandium was first prepared in 1937 by Fischer and his colleagues.	Во 1879 година, Lars Fredrik Nilson и неговиот тим го детектирале скандиумот во минералите еуксенит и гадолинит.<br><br>Nilson приготвил 2 грама скандиум оксид со висока чистота.<br><br>Per Teodor Cleve покажал дека скандиумот има својства слични на оние предвидени од Менделеев за ека-бор.<br><br>Металниот скандиум прво бил приготвен во 1937 година од Fischer и неговите колеги.
Titanium	William Gregor found the oxide of titanium in ilmenite in 1791.<br><br>Martin Heinrich Klaproth independently discovered the element in rutile in 1795 and named it.<br><br>The pure metallic form was only obtained in 1910 by Matthew A. Hunter.<br><br>In 1936, the Kroll Process made the commercial production of titanium possible.	William Gregor го нашол оксидот на титаниум во илменит во 1791 година.<br><br>Martin Heinrich Klaproth независно го открил елементот во рутил во 1795 година и го именувал.<br><br>Чистата метална форма била добиена дури во 1910 година од Matthew A. Hunter.<br><br>Во 1936 година, Kroll Процесот го овозможил комерцијалното производство на титаниум.
