Element	English	Esperanto
Nickel	From the German word <i>Nickel</i> (Satan), and from kupfernickel, Old Nick's copper	El la germana vorto <i>Nickel</i> (Satano), kaj el kupfernickel, la kupro de Malnova Niko
Copper	From the Latin word <i>cuprum</i>, from the island of Cyprus	El la latina vorto <i>cuprum</i>, el la insulo Kipro
Zinc	From the German word <i>Zink</i>, of obscure origin	El la germana vorto <i>Zink</i>, de obskura origino
Gallium	From the Latin word <i>Gallia</i>, France; also from Latin, <i>gallus</i>, a translation of Lecoq, a cock	El la latina vorto <i>Gallia</i>, Francio; ankaŭ el la latina <i>gallus</i>, traduko de Lecoq, koko
Germanium	From the Latin word <i>Germania</i>, Germany	El la latina vorto <i>Germania</i>, Germanio
Arsenic	From the Latin word <i>arsenicum</i>, Greek <i>arsenikon</i>	El la latina vorto <i>arsenicum</i>, greka <i>arsenikon</i>
Selenium	From the Greek word <i>Selene</i>, moon	El la greka vorto <i>Selene</i>, luno
Bromine	From the Greek word <i>bromos</i>, stench	El la greka vorto <i>bromos</i>, fetoro
Krypton	From the Greek word <i>kryptos</i>, hidden	El la greka vorto <i>kryptos</i>, kaŝita
Rubidium	From the Latin word <i>rubidus</i>, deepest red	El la latina vorto <i>rubidus</i>, profunde ruĝa
Strontium	Named after Strontian, a town in Scotland	Nomita laŭ Strontian, urbo en Skotlando
Yttrium	Named after Ytterby, a village in Sweden near Vauxholm	Nomita laŭ Ytterby, vilaĝo en Svedio proksime al Vauxholm
Zirconium	From the Persian <i>zargun</i>, gold like	El la persa <i>zargun</i>, oreca
Niobium	Named after Niobe, the daughter of Tantalu	Nomita laŭ Niobe, la filino de Tantalo
Molybdenum	From the Greek word <i>molybdo</i>, lead	El la greka vorto <i>molybdo</i>, plumbo
Technetium	From the Greek word <i>technetos</i>, artificial	El la greka vorto <i>technetos</i>, artefarita
Ruthenium	From the Latin word <i>Ruthenia</i>, Russia	El la latina vorto <i>Ruthenia</i>, Rusio
Rhodium	From the Greek word <i>rhodon</i>, rose	El la greka vorto <i>rhodon</i>, rozo
Palladium	Palladium was named after the asteroid Pallas; Pallas was the Greek goddess of wisdom	Paladio estis nomita laŭ la asteroido Palas; Palas estis la greka diino de saĝeco
Silver	The Latin word for silver is <i>argentum</i>	La latina vorto por arĝento estas <i>argentum</i>
Cadmium	From the Latin word <i>cadmia</i>, Greek <i>kadmeia</i> - the ancient name for calamine, zinc carbonate	El la latina vorto <i>cadmia</i>, greka <i>kadmeia</i> - la antikva nomo por kalamino, zinka karbonato
Indium	From the brilliant indigo line in its spectrum	El la brila indiga linio en ĝia spektro
Tin	The Latin word for tin is stannum	La latina vorto por stano estas stannum
Antimony	From the Greek word <i>anti</i> plus <i>monos</i> - a metal not found alone	El la greka vorto <i>anti</i> plus <i>monos</i> - metalo ne trovata sole
Tellurium	From the Latin word <i>tellus</i>, earth	El la latina vorto <i>tellus</i>, tero
Iodine	From the Greek word <i>iodes</i>, violet	El la greka vorto <i>iodes</i>, viola
Xenon	From the Greek word <i>xenon</i>, stranger	El la greka vorto <i>xenon</i>, fremdulo
Caesium	From the Latin word <i>caesius</i>, sky blue	El la latina vorto <i>caesius</i>, ĉielblua
Barium	From the Greek word <i>barys</i>, heavy	El la greka vorto <i>barys</i>, peza
Lanthanum	From the Greek word <i>lanthanein</i>, to lie hidden	El la greka vorto <i>lanthanein</i>, kaŝiĝi
Cerium	Cerium was named for the asteroid Ceres	Cerio estis nomita laŭ la asteroido Cereso
Praseodymium	From the Greek word <i>prasios</i>, green, and <i>didymos</i>, twin	El la greka vorto <i>prasios</i>, verda, kaj <i>didymos</i>, ĝemelo
Neodymium	From the Greek word <i>neos</i> meaning new, and <i>didymos</i>, twin	El la greka vorto <i>neos</i>, nova, kaj <i>didymos</i>, ĝemelo
Promethium	Named after the Greek <i>Prometheus</i>, who, according to mythology, stole fire from heaven	Nomita laŭ la greka <i>Prometeo</i>, kiu laŭ mitologio ŝtelis fajron el la ĉielo
Samarium	From <i>samarskite</i>, a mineral named after Russian mine official, Col. Samarski	El <i>samarskito</i>, mineralo nomita laŭ rusa minoficisto, kolonelo Samarski
Europium	Europium was named after Europe	Eŭropio estis nomita laŭ Eŭropo
Gadolinium	From <i>gadolinite</i>, a mineral named for Gadolin, a Finnish chemist	El <i>gadolinito</i>, mineralo nomita laŭ Gadolin, finna kemiisto
Terbium	Terbium was named after Ytterby, a town in Sweden	Terbio estis nomita laŭ Ytterby, urbo en Svedio
Dysprosium	From the Greek word <i>dysprositos</i>, meaning hard to get at	El la greka vorto <i>dysprositos</i>, malfacile atingebla
Holmium	From the Latin word <i>Holmia</i> meaning Stockholm	El la latina vorto <i>Holmia</i>, Stokholmo
Erbium	Erbium was named after Ytterby, a town in Sweden	Erbio estis nomita laŭ Ytterby, urbo en Svedio
Thulium	Named after <i>Thule</i>, the earliest name for Scandinavia	Nomita laŭ <i>Tule</i>, la plej frua nomo por Skandinavio
Ytterbium	Ytterbium was named after Ytterby, a town in Sweden	Iterbio estis nomita laŭ Ytterby, urbo en Svedio
Lutetium	Lutetia is the ancient name for Paris	Lutecia estas la antikva nomo por Parizo
Hafnium	From <i>Hafinia</i>, the Latin name for Copenhagen	El <i>Hafinia</i>, la latina nomo por Kopenhago
Tantalum	Named after <i>Tantalos</i>, a Greek mythological character, father of Niobe	Nomita laŭ <i>Tantalo</i>, greka mitologia personaĵo, patro de Niobe
Tungsten	From Swedish, <i>tung sten</i> meaning heavy stone	El la sveda <i>tung sten</i>, peza ŝtono
Rhenium	From the Latin word <i>Rhenus</i> meaning Rhine	El la latina vorto <i>Rhenus</i>, Rejno
Osmium	From the Greek word <i>osme</i>, meaning smell	El la greka vorto <i>osme</i>, odoro
Iridium	From the Latin word <i>iris</i> meaning rainbow	El la latina vorto <i>iris</i>, ĉielarko
Platinum	From the Spanish word <i>platina</i>, meaning silver	El la hispana vorto <i>platina</i>, arĝento
Gold	From the Latin word <i>aurum</i> meaning gold	El la latina vorto <i>aurum</i>, oro
Mercury	From the Latin word <i>hydrargyrum</i> meaning liquid silver	El la latina vorto <i>hydrargyrum</i>, likva arĝento
Thallium	From Greek <i>thallos</i>, meanin a green shoot or twig	El la greka <i>thallos</i>, verda ŝoso aŭ branĉeto
Lead	From the Latin word <i>plumbum</i>	El la latina vorto <i>plumbum</i>
Bismuth	From the German <i>Weisse Masse</i>, meaning white mass	El la germana <i>Weisse Masse</i>, blanka maso
Polonium	Named after Poland, native country of Madam Curie	Nomita laŭ Pollando, la naskiĝlando de Madame Curie
Astatine	From the Greek <i>astatos</i> meaning unstable	El la greka <i>astatos</i>, malstabila
Radon	The name was derived from <i>radium</i>; called niton at first, from the Latin word <i>nitens</i> meaning shining	La nomo deriviĝis el <i>radio</i>; unue nomita nitono, el la latina vorto <i>nitens</i>, brila
Francium	Francium was named after France	Francio estis nomita laŭ Francio
Radium	From the Latin word <i>radius</i> meaning ray	El la latina vorto <i>radius</i>, radio
Actinium	From the Greek <i>aktis, aktinos</i>, meaning beam or ray	El la greka <i>aktis, aktinos</i>, radio aŭ lumfasko
Thorium	Named after <i>Thor</i>, Scandinavian god of war	Nomita laŭ <i>Tor</i>, skandinava dio de milito
Protactinium	From the Greek <i>protos</i> meaning first	El la greka <i>protos</i>, unua
Uranium	Named after the planet Uranus	Nomita laŭ la planedo Urano
Neptunium	Named after the planet Neptune	Nomita laŭ la planedo Neptuno
Plutonium	Named after the planet Pluto	Nomita laŭ la planedo Plutono
Americium	Named after America	Nomita laŭ Ameriko
Curium	Curium is named after Madame Curie and her husband Pierre Curie	Kurio estas nomita laŭ Madame Curie kaj ŝia edzo Pierre Curie
Berkelium	Named after Berkeley, California, the city of its discovery	Nomita laŭ Berkeley, Kalifornio, la urbo de ĝia malkovro
Californium	Named after California and the University of California	Nomita laŭ Kalifornio kaj la Universitato de Kalifornio
Einsteinium	Named after Albert Einstein	Nomita laŭ Albert Einstein
Fermium	Named after Nobel laureate Enrico Fermi, one of the pioneers of nuclear physics	Nomita laŭ la Nobelpremio-laureato Enrico Fermi, unu el la pioniroj de nuklea fiziko
Mendelevium	Named after Dmitri Mendeleev, who created the Periodic Table	Nomita laŭ Dmitri Mendeleev, kiu kreis la Periodan Tablon
Nobelium	Named after of Alfred Nobel, Swedish chemist who discovered dynamite and founder of the Nobel Prizes	Nomita laŭ Alfred Nobel, sveda kemiisto kiu malkovris dinamiton kaj fondinto de la Nobel-premioj
Lawrencium	Named after Ernest O. Lawrence, inventor of the cyclotron	Nomita laŭ Ernest O. Lawrence, inventinto de la ciklotrono
Rutherfordium	Named after Ernest Rutherford, the physicist and chemist from New Zealand	Nomita laŭ Ernest Rutherford, la fizikisto kaj kemiisto el Nov-Zelando
Dubnium	Named after the Russian town of Dubna	Nomita laŭ la rusa urbo Dubna
Seaborgium	Named after Glenn Seaborg, American nuclear chemist and Nobel prize winner	Nomita laŭ Glenn Seaborg, usona nuklea kemiisto kaj Nobel-premiito
Bohrium	Named after Niels Bohr, the Danish physicist	Nomita laŭ Niels Bohr, la dana fizikisto
Hassium	From the Latin word <i>Hassias</i> meaning Hess, the German state	El la latina vorto <i>Hassias</i>, Hesio, la germana federacia lando
Meitnerium	Named after Lise Meitner, the Austrian physicist	Nomita laŭ Lise Meitner, la aŭstria fizikistino
Darmstadtium	Named after the German city of Darmstadt	Nomita laŭ la germana urbo Darmstadt
Roentgenium	Named after Wilhelm Conrad Röntgen, the German physicist	Nomita laŭ Wilhelm Conrad Röntgen, la germana fizikisto
Copernicium	Named after the astronomer Nicolaus Copernicus	Nomita laŭ la astronomo Nikolao Koperniko
Nihonium	The name comes from the common Japanese name for Japan	La nomo venas el la komuna japana nomo por Japanio
Flerovium	Named after the founder of the Flerov Laboratory of Nuclear Reactions, the Soviet physicist Georgy Flyorov	Nomita laŭ la fondinto de la Flerov-Laboratorio de Nukleaj Reagoj, la soveta fizikisto Georgij Fljоrov
Moscovium	Named after Moscow Oblast where Dubna is located	Nomita laŭ Moskva Oblast, kie Dubna troviĝas
Livermorium	Named after the Lawrence Livermore National Laboratory, within the city of Livermore, California	Nomita laŭ la Lawrence Livermore Nacia Laboratorio, en la urbo Livermore, Kalifornio
Tennessine	Named after the region of Tennessee	Nomita laŭ la regiono de Tenesio
Oganesson	Named after the Russian nuclear physicist Yuri Oganessian	Nomita laŭ la rusa nuklea fizikisto Jurio Oganesjan
		
Hydrogen	Henry Cavendish was the first to distinguish hydrogen from other gases in 1766 when he prepared it by reacting hydrochloric acid with zinc.<br><br>In 1670, English scientist Robert Boyle had observed its production by reacting strong acids with metals.<br><br>French scientist Antoine Lavoisier later named the element hydrogen in 1783.	Henry Cavendish estis la unua, kiu distingis hidrogeno de aliaj gasoj en 1766, kiam li preparis ĝin per reagado de hidroklorida acido kun zinko.<br><br>En 1670, la angla sciencisto Robert Boyle observis ĝian produktadon per reagado de fortaj acidoj kun metaloj.<br><br>La franca sciencisto Antoine Lavoisier poste nomis la elementon hidrogeno en 1783.
Helium	French astronomer Jules Janssen obtained the first evidence of helium during the solar eclipse of 1868.<br><br>Norman Lockyer and Edward Frankland suggested the name helium for the new element.<br><br>In 1895, Sir William Ramsay discovered helium in the uranium mineral cleveite.<br><br>It was independently discovered in cleveite by Per Teodor Cleve and Abraham Langlet.	Franca astronomo Jules Janssen obtenis la unuajn pruvojn de helio dum la suneклипso de 1868.<br><br>Norman Lockyer kaj Edward Frankland proponis la nomon helio por la nova elemento.<br><br>En 1895, sinjoro William Ramsay malkovris helion en la urania mineralo kleveite.<br><br>Ĝi estis sendepende malkovrita en kleveite de Per Teodor Cleve kaj Abraham Langlet.
Lithium	Lithium was discovered by Johann Arfvedson in 1817 when he was analyzing minerals from the island of Uto in Sweden.<br><br>The pure metal was isolated the following year by both Swedish chemist William Thomas Brande and English chemist Sir Humphry Davy working independently.<br><br>In 1855, larger quantities of lithium were produced through the electrolysis of lithium chloride by Robert Bunsen and Augustus Matthiessen.	Litio estis malkovrita de Johann Arfvedson en 1817, kiam li analizis mineralojn de la insulo Uto en Svedio.<br><br>La pura metalo estis izolita la sekvan jaron de ambaŭ la sveda kemiisto William Thomas Brande kaj la angla kemiisto sinjoro Humphry Davy, laborante sendepende.<br><br>En 1855, pli grandaj kvantoj de litio estis produktitaj per elektrolizo de litia klorido de Robert Bunsen kaj Augustus Matthiessen.
Beryllium	Louis-Nicolas Vauquelin discovered beryllium in the oxide form in both beryl and emeralds in 1798.<br><br>Friedrich Wöhler and Antoine Bussy independently isolated beryllium in 1828 by the chemical reaction of metallic potassium with beryllium chloride.<br><br>The first commercially-successful process for producing beryllium was developed in 1932 by Alfred Stock and Hans Goldschmidt.	Louis-Nicolas Vauquelin malkovris berillion en oksida formo en ambaŭ berilo kaj smaragdoj en 1798.<br><br>Friedrich Wöhler kaj Antoine Bussy sendepende izolis berillion en 1828 per la kemia reago de metala kalio kun beria klorido.<br><br>La unua komerce sukcesa procezo por produkti berillion estis evoluigita en 1932 de Alfred Stock kaj Hans Goldschmidt.
Boron	Boron compounds have been known for thousands of years, but the element was not discovered until 1808 by Sir Humphry Davy and by Gay-Lussac and Thenard.<br><br>Boron was not recognized as an element until it was isolated in 1808 by Sir Humphry Davy and by Joseph Louis Gay-Lussac and Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius identified boron as an element in 1824.	Boraj kunmetaĵoj estas konataj dum miloj da jaroj, sed la elemento ne estis malkovrita ĝis 1808 de sinjoro Humphry Davy kaj de Gay-Lussac kaj Thenard.<br><br>Boro ne estis rekonita kiel elemento ĝis ĝia izolado en 1808 de sinjoro Humphry Davy kaj de Joseph Louis Gay-Lussac kaj Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius identigis boron kiel elementon en 1824.
Carbon	Carbon was discovered in prehistory and was known in the forms of soot and charcoal to the earliest human civilizations.<br><br>In 1772, Antoine Lavoisier showed that diamonds are a form of carbon; when he burned samples of charcoal and diamond and found that neither produced any water.<br><br>In 1779, Carl Wilhelm Scheele showed that graphite burned to form carbon dioxide and so must be another form of carbon.	Karbono estis malkovrita en prahistorio kaj estis konata en la formoj de fulgo kaj karbo al la plej fruaj homaj civilizacioj.<br><br>En 1772, Antoine Lavoisier montris, ke diamantoj estas formo de karbono; kiam li bruligis specimenojn de karbo kaj diamanto kaj trovis ke neniu produktis akvon.<br><br>En 1779, Carl Wilhelm Scheele montris, ke grafito bruligis por formi karbondioksidon kaj do devas esti alia formo de karbono.
Nitrogen	Nitrogen is considered to have been discovered by Scottish physician Daniel Rutherford in 1772, who called it noxious air or fixed air.<br><br>It was also studied at about the same time by Carl Wilhelm Scheele, Henry Cavendish and Joseph Priestley.<br><br>In 1790 the French chemist Jean-Antoine-Claude Chaptal named the element nitrogen.	Nitrogeno estas konsiderata malkovrita de la skota kuracisto Daniel Rutherford en 1772, kiu nomis ĝin veneniga aero aŭ fiksita aero.<br><br>Ĝi ankaŭ estis studita proksimume samtempe de Carl Wilhelm Scheele, Henry Cavendish kaj Joseph Priestley.<br><br>En 1790, la franca kemiisto Jean-Antoine-Claude Chaptal nomis la elementon nitrogeno.
Oxygen	Carl Wilhelm Scheele obtained oxygen by heating mercuric oxide and nitrates in 1771, but did not publish his findings until 1777.<br><br>Joseph Priestley also prepared this new air by 1774.<br><br>The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion.	Carl Wilhelm Scheele obtenis oksigenon per varmigado de merkura oksido kaj nitratoj en 1771, sed ne publikigis siajn trovaĵojn ĝis 1777.<br><br>Joseph Priestley ankaŭ preparis tiun ĉi novan aeron antaŭ 1774.<br><br>La nomo oksigeno estis elpensita en 1777 de Antoine Lavoisier, kies eksperimentoj kun oksigeno helpis malkredigi la tiam popularan flogiston-teorion de brulado kaj korodo.
Fluorine	In 1529, Georigius Agricola described the use of fluorspar as a flux.<br><br>In 1670 Heinrich Schwandhard found that glass was etched when exposed to fluorspar treated with acid.<br><br>In 1810, French scientist Andre-Marie Ampere proposed that fluoric acid was a compound of hydrogen with a new element.<br><br>The element was finally isolated in 1886 by Henri Moissan.	En 1529, Georgius Agricola priskribis la uzon de fluorspo kiel flukso.<br><br>En 1670, Heinrich Schwandhard trovis, ke vitro estis gravurita kiam ekspoziciita al fluorspo traktita per acido.<br><br>En 1810, franca sciencisto André-Marie Ampère proponis ke fluora acido estis kunmetaĵo de hidrogeno kun nova elemento.<br><br>La elemento estis fine izolita en 1886 de Henri Moissan.
Neon	Neon was discovered in 1898 by the British chemists Sir William Ramsay and Morris W. Travers in London.<br><br>It was discovered when Ramsay chilled a sample of air until it became a liquid, then warmed the liquid and captured the gases as they boiled off.<br><br>After 1902, Georges Claude's company, Air Liquide, was producing industrial quantities of neon as a byproduct of his air liquefaction business.	Neono estis malkovrita en 1898 de la britaj kemiistoj sinjoro William Ramsay kaj Morris W. Travers en Londono.<br><br>Ĝi estis malkovrita kiam Ramsay malvarmigas specimenon de aero ĝis ĝi fariĝis likvo, poste varmigis la likvaĵon kaj kaptis la gasojn dum ili vaporis.<br><br>Post 1902, la kompanio de Georges Claude, Air Liquide, produktis industriajn kvantojn de neono kiel kromprodukto de lia aerolikvigada komerco.
Sodium	The chemical abbreviation for sodium was first published by Jöns Jakob Berzelius in his system of atomic symbols.<br><br>It is a contraction of the element's new Latin name <i>natrium</i>, which refers to the Egyptian <i>natron</i>, a natural mineral salt primarily made of hydrated sodium carbonate.<br><br>In 1807, Sir Humphry Davy isolated sodium for the first time by electrolysis of dried sodium hydroxide, which had been very slightly moistened.	La kemia mallongigo por natrio estis unue publikigita de Jöns Jakob Berzelius en lia sistemo de atomaj simboloj.<br><br>Ĝi estas mallongigo de la nova latina nomo de la elemento <i>natrium</i>, kiu referencas al la egipta <i>natron</i>, natura minerala salo plejparte farita el hidratita natria karbonato.<br><br>En 1807, sinjoro Humphry Davy izolis natron por la unua fojo per elektrolizo de sekigita natria hidroksido, kiu estis tre iomete humigita.
Magnesium	Scottish chemist Joseph Black recognized magnesium as an element in 1755.<br><br>Magnesium was first isolated by Sir Humphry Davy in 1808, in London.<br><br>He used electrolysis on a mixture of magnesia and mercuric oxide.<br><br>Antoine Bussy prepared it in coherent form in 1831.	Skota kemiisto Joseph Black rekonis magnezion kiel elementon en 1755.<br><br>Magnezio estis unue izolita de sinjoro Humphry Davy en 1808, en Londono.<br><br>Li uzis elektrolizadon sur miksaĵo de magnezio kaj merkura oksido.<br><br>Antoine Bussy preparis ĝin en kohera formo en 1831.
Aluminium	In 1761, Guyton de Morveau proposed the name alumine for the base in alum, and Antoine Lavoisier, in 1787, thought this to be the oxide of a still undiscovered metal.<br><br>Sir Humphry Davy identified the existence of a metal base of alum in 1808.<br><br>Hans Christian Ørsted was the first to isolate metallic aluminum in 1825 in impure form.<br><br>Friedrich Wöhler is generally credited with having isolated the metal in 1827.	En 1761, Guyton de Morveau proponis la nomon alumine por la bazo en aluno, kaj Antoine Lavoisier, en 1787, pensis ĝin esti la oksido de ankoraŭ nemalkovrita metalo.<br><br>Sinjoro Humphry Davy identigis la ekzistadon de metala bazo de aluno en 1808.<br><br>Hans Christian Ørsted estis la unua, kiu izolis metalan aluminium en 1825 en malpura formo.<br><br>Friedrich Wöhler ĝenerale estas akreditita je izolado de la metalo en 1827.
Silicon	In 1800, Sir Humphry Davy thought silica to be a compound and not an element; but in 1811, Gay Lussac and Louis Jacques Thénard probably prepared impure amorphous silicon by heating potassium with silicon tetrafluoride.<br><br>In 1824 Jöns Jakob Berzelius prepared amorphous silicon by the same general method.<br><br>Henri Deville in 1854 first prepared crystalline silicon, the second allotropic form of the element.	En 1800, sinjoro Humphry Davy pensis silicion esti kunmetaĵo kaj ne elemento; sed en 1811, Gay Lussac kaj Louis Jacques Thénard verŝajne preparis malpuran amorfan silicion per varmigado de kalio kun silicia tetrafluorido.<br><br>En 1824, Jöns Jakob Berzelius preparis amorfan silicion per la sama ĝenerala metodo.<br><br>Henri Deville en 1854 unue preparis kristalan silicion, la duan alotropan formon de la elemento.
Phosphorus	Hennig Brand discovered phosphorus in 1669, in Hamburg, Germany, preparing it from urine.<br><br>In 1769, Johan Gottlieb Gahn and Carl Wilhelm Scheele showed that calcium phosphate is found in bones, and they obtained elemental phosphorus from bone ash.<br><br>Antoine Lavoisier recognized phosphorus as an element in 1777.	Hennig Brand malkovris fosforon en 1669, en Hamburgo, Germanio, preparante ĝin el urino.<br><br>En 1769, Johan Gottlieb Gahn kaj Carl Wilhelm Scheele montris ke kalcia fosfato troviĝas en ostoj, kaj ili obtenis elementan fosforon el ostocindro.<br><br>Antoine Lavoisier rekonis fosforon kiel elementon en 1777.
Sulfur	By the 3rd century, the Chinese discovered that sulfur could be extracted from pyrite.<br><br>Indian alchemists wrote extensively about the use of sulfur in alchemical operations with mercury, from the eighth century AD onwards.<br><br>In 1777, Antoine Lavoisier helped convince the scientific community that sulfur was an element, not a compound.	En la 3a jarcento, la ĉinoj malkovris ke sulfuro povas esti ekstraktita el pirito.<br><br>Hindaj alĥimiistoj skribis detale pri la uzo de sulfuro en alĥimiaj operacioj kun hidrargo, ekde la oka jarcento pK.<br><br>En 1777, Antoine Lavoisier helpis konvinki la scienca komunumo ke sulfuro estis elemento, ne kunmetaĵo.
Chlorine	Around 1630, chlorine was recognized as a gas by the Belgian chemist and physician Jan Baptist van Helmont.<br><br>Elemental chlorine was first prepared and studied in 1774 by Swedish chemist Carl Wilhelm Scheele.<br><br>By 1810, the scientific consensus was that chlorine was actually a compound that contained oxygen.<br><br>In 1811, Sir Humphry Davy concluded the new gas was in fact a new element.	Ĉirkaŭ 1630, kloro estis rekonita kiel gaso de la belga kemiisto kaj kuracisto Jan Baptist van Helmont.<br><br>Elementa kloro estis unue preparita kaj studita en 1774 de sveda kemiisto Carl Wilhelm Scheele.<br><br>Antaŭ 1810, la scienca konsento estis ke kloro estis fakte kunmetaĵo kiu enhavis oksigenon.<br><br>En 1811, sinjoro Humphry Davy konkludis ke la nova gaso estis fakte nova elemento.
Argon	Argon was suspected to be present in air by Henry Cavendish in 1785.<br><br>It was not isolated until 1894 by Lord Rayleigh and Sir William Ramsay in Scotland.<br><br>Argon became the first member of the noble gases to be discovered.<br><br>In 1957, IUPAC agreed that the symbol should change from A to Ar.	Argono estis suspektata ĉeesti en aero de Henry Cavendish en 1785.<br><br>Ĝi ne estis izolita ĝis 1894 de Lordo Rayleigh kaj sinjoro William Ramsay en Skotlando.<br><br>Argono iĝis la unua membro de la noblaj gasoj, kiu estis malkovrita.<br><br>En 1957, IUPAC konsentis ke la simbolo devis ŝanĝiĝi de A al Ar.
Potassium	Potassium's symbol K comes from 'kalium' the name of the element in Germany and Scandinavia.<br><br>Potassium metal was first isolated in 1807 by Sir Humphry Davy, who derived it from caustic potash by the use of electrolysis of the molten salt with the newly discovered voltaic pile.<br><br>Potassium was the first metal that was isolated by electrolysis.	La simbolo K de kalio venas el 'kalium', la nomo de la elemento en Germanio kaj Skandinavio.<br><br>Kalia metalo estis unue izolita en 1807 de sinjoro Humphry Davy, kiu derivis ĝin el kaŭstika potaŝo per uzo de elektrolizo de la fandita salo kun la ĵus malkovrita voltaika pilo.<br><br>Kalio estis la unua metalo kiu estis izolita per elektrolizo.
Calcium	Calcium was known as early as the first century when the Ancient Romans prepared lime as calcium oxide.<br><br>Calcium was first isolated by Sir Humphry Davy in 1808 when he electrolyzed a mixture of lime and mercuric oxide.<br><br>Davy was trying to isolate calcium; when he heard that Jöns Jakob Berzelius and Pontin prepared calcium amalgam by electrolyzing lime in mercury, he tried it himself.	Kalcio estis konata jam en la unua jarcento kiam la Antikvaj Romianoj preparis kalkon kiel kalcian oksidon.<br><br>Kalcio estis unue izolita de sinjoro Humphry Davy en 1808 kiam li elektrolizis miksaĵon de kalko kaj merkura oksido.<br><br>Davy provis izoli kalcion; kiam li aŭdis ke Jöns Jakob Berzelius kaj Pontin preparis kalcian amalgamon per elektrolizado de kalko en hidrargo, li provis ĝin mem.
