Element	English	Malay
Curium	Curium is named after Madame Curie and her husband Pierre Curie	Curium dinamakan sempena Madame Curie dan suaminya Pierre Curie
Berkelium	Named after Berkeley, California, the city of its discovery	Dinamakan sempena Berkeley, California, bandar di mana ia ditemui
Californium	Named after California and the University of California	Dinamakan sempena California dan Universiti California
Einsteinium	Named after Albert Einstein	Dinamakan sempena Albert Einstein
Fermium	Named after Nobel laureate Enrico Fermi, one of the pioneers of nuclear physics	Dinamakan sempena penerima Hadiah Nobel Enrico Fermi, salah seorang pelopor fizik nuklear
Mendelevium	Named after Dmitri Mendeleev, who created the Periodic Table	Dinamakan sempena Dmitri Mendeleev, yang mencipta Jadual Berkala
Nobelium	Named after of Alfred Nobel, Swedish chemist who discovered dynamite and founder of the Nobel Prizes	Dinamakan sempena Alfred Nobel, ahli kimia Sweden yang menemui dinamit dan pengasas Hadiah Nobel
Lawrencium	Named after Ernest O. Lawrence, inventor of the cyclotron	Dinamakan sempena Ernest O. Lawrence, pencipta siklotron
Rutherfordium	Named after Ernest Rutherford, the physicist and chemist from New Zealand	Dinamakan sempena Ernest Rutherford, ahli fizik dan kimia dari New Zealand
Dubnium	Named after the Russian town of Dubna	Dinamakan sempena bandar Dubna di Rusia
Seaborgium	Named after Glenn Seaborg, American nuclear chemist and Nobel prize winner	Dinamakan sempena Glenn Seaborg, ahli kimia nuklear Amerika dan pemenang Hadiah Nobel
Bohrium	Named after Niels Bohr, the Danish physicist	Dinamakan sempena Niels Bohr, ahli fizik Denmark
Hassium	From the Latin word <i>Hassias</i> meaning Hess, the German state	Daripada perkataan Latin <i>Hassias</i> bermakna Hesse, negeri German
Meitnerium	Named after Lise Meitner, the Austrian physicist	Dinamakan sempena Lise Meitner, ahli fizik Austria
Darmstadtium	Named after the German city of Darmstadt	Dinamakan sempena bandar Darmstadt di Jerman
Roentgenium	Named after Wilhelm Conrad Röntgen, the German physicist	Dinamakan sempena Wilhelm Conrad Röntgen, ahli fizik Jerman
Copernicium	Named after the astronomer Nicolaus Copernicus	Dinamakan sempena ahli astronomi Nicolaus Copernicus
Nihonium	The name comes from the common Japanese name for Japan	Nama ini berasal daripada nama Jepun yang biasa untuk Jepun
Flerovium	Named after the founder of the Flerov Laboratory of Nuclear Reactions, the Soviet physicist Georgy Flyorov	Dinamakan sempena pengasas Makmal Flerov bagi Tindak Balas Nuklear, ahli fizik Soviet Georgy Flyorov
Moscovium	Named after Moscow Oblast where Dubna is located	Dinamakan sempena Wilayah Moscow di mana Dubna terletak
Livermorium	Named after the Lawrence Livermore National Laboratory, within the city of Livermore, California	Dinamakan sempena Makmal Kebangsaan Lawrence Livermore, dalam bandar Livermore, California
Tennessine	Named after the region of Tennessee	Dinamakan sempena kawasan Tennessee
Oganesson	Named after the Russian nuclear physicist Yuri Oganessian	Dinamakan sempena ahli fizik nuklear Rusia Yuri Oganessian
		
Hydrogen	Henry Cavendish was the first to distinguish hydrogen from other gases in 1766 when he prepared it by reacting hydrochloric acid with zinc.<br><br>In 1670, English scientist Robert Boyle had observed its production by reacting strong acids with metals.<br><br>French scientist Antoine Lavoisier later named the element hydrogen in 1783.	Henry Cavendish adalah orang pertama yang membezakan hidrogen daripada gas lain pada tahun 1766 apabila beliau menyediakannya dengan mereaksikan asid hidroklorik dengan zink.<br><br>Pada tahun 1670, saintis Inggeris Robert Boyle telah memerhatikan penghasilannya dengan mereaksikan asid kuat dengan logam.<br><br>Saintis Perancis Antoine Lavoisier kemudiannya menamakan unsur ini hidrogen pada tahun 1783.
Helium	French astronomer Jules Janssen obtained the first evidence of helium during the solar eclipse of 1868.<br><br>Norman Lockyer and Edward Frankland suggested the name helium for the new element.<br><br>In 1895, Sir William Ramsay discovered helium in the uranium mineral cleveite.<br><br>It was independently discovered in cleveite by Per Teodor Cleve and Abraham Langlet.	Ahli astronomi Perancis Jules Janssen memperoleh bukti pertama helium semasa gerhana matahari tahun 1868.<br><br>Norman Lockyer dan Edward Frankland mencadangkan nama helium untuk unsur baru tersebut.<br><br>Pada tahun 1895, Sir William Ramsay menemui helium dalam mineral uranium kleveite.<br><br>Ia secara bebas ditemui dalam kleveite oleh Per Teodor Cleve dan Abraham Langlet.
Lithium	Lithium was discovered by Johann Arfvedson in 1817 when he was analyzing minerals from the island of Uto in Sweden.<br><br>The pure metal was isolated the following year by both Swedish chemist William Thomas Brande and English chemist Sir Humphry Davy working independently.<br><br>In 1855, larger quantities of lithium were produced through the electrolysis of lithium chloride by Robert Bunsen and Augustus Matthiessen.	Litium ditemui oleh Johann Arfvedson pada tahun 1817 ketika beliau menganalisis mineral dari pulau Uto di Sweden.<br><br>Logam tulen diasingkan pada tahun berikutnya oleh ahli kimia Sweden William Thomas Brande dan ahli kimia Inggeris Sir Humphry Davy yang bekerja secara bebas.<br><br>Pada tahun 1855, kuantiti litium yang lebih besar dihasilkan melalui elektrolisis litium klorida oleh Robert Bunsen dan Augustus Matthiessen.
Beryllium	Louis-Nicolas Vauquelin discovered beryllium in the oxide form in both beryl and emeralds in 1798.<br><br>Friedrich Wöhler and Antoine Bussy independently isolated beryllium in 1828 by the chemical reaction of metallic potassium with beryllium chloride.<br><br>The first commercially-successful process for producing beryllium was developed in 1932 by Alfred Stock and Hans Goldschmidt.	Louis-Nicolas Vauquelin menemui berylium dalam bentuk oksida dalam beryl dan zamrud pada tahun 1798.<br><br>Friedrich Wöhler dan Antoine Bussy secara bebas mengasingkan berylium pada tahun 1828 melalui tindak balas kimia kalium logam dengan berylium klorida.<br><br>Proses pertama yang berjaya secara komersial untuk menghasilkan berylium dibangunkan pada tahun 1932 oleh Alfred Stock dan Hans Goldschmidt.
Boron	Boron compounds have been known for thousands of years, but the element was not discovered until 1808 by Sir Humphry Davy and by Gay-Lussac and Thenard.<br><br>Boron was not recognized as an element until it was isolated in 1808 by Sir Humphry Davy and by Joseph Louis Gay-Lussac and Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius identified boron as an element in 1824.	Sebatian boron telah diketahui selama ribuan tahun, tetapi unsur ini tidak ditemui sehingga tahun 1808 oleh Sir Humphry Davy dan Gay-Lussac dan Thénard.<br><br>Boron tidak diiktiraf sebagai unsur sehingga ia diasingkan pada tahun 1808 oleh Sir Humphry Davy dan Joseph Louis Gay-Lussac dan Louis Jacques Thénard.<br><br>Jöns Jakob Berzelius mengenal pasti boron sebagai unsur pada tahun 1824.
Carbon	Carbon was discovered in prehistory and was known in the forms of soot and charcoal to the earliest human civilizations.<br><br>In 1772, Antoine Lavoisier showed that diamonds are a form of carbon; when he burned samples of charcoal and diamond and found that neither produced any water.<br><br>In 1779, Carl Wilhelm Scheele showed that graphite burned to form carbon dioxide and so must be another form of carbon.	Karbon ditemui pada zaman prasejarah dan diketahui dalam bentuk arang dan arang kayu oleh tamadun manusia terawal.<br><br>Pada tahun 1772, Antoine Lavoisier menunjukkan bahawa berlian adalah satu bentuk karbon; apabila beliau membakar sampel arang dan berlian dan mendapati bahawa tiada satu pun menghasilkan air.<br><br>Pada tahun 1779, Carl Wilhelm Scheele menunjukkan bahawa grafit terbakar membentuk karbon dioksida dan oleh itu mesti menjadi satu lagi bentuk karbon.
Nitrogen	Nitrogen is considered to have been discovered by Scottish physician Daniel Rutherford in 1772, who called it noxious air or fixed air.<br><br>It was also studied at about the same time by Carl Wilhelm Scheele, Henry Cavendish and Joseph Priestley.<br><br>In 1790 the French chemist Jean-Antoine-Claude Chaptal named the element nitrogen.	ازوت dianggap telah ditemui oleh doktor Scotland Daniel Rutherford pada tahun 1772, yang menyebutnya sebagai udara berbahaya atau udara tetap.<br><br>Ia juga dikaji pada masa yang sama oleh Carl Wilhelm Scheele, Henry Cavendish dan Joseph Priestley.<br><br>Pada tahun 1790, ahli kimia Perancis Jean-Antoine-Claude Chaptal menamakan unsur ini nitrogen.
Oxygen	Carl Wilhelm Scheele obtained oxygen by heating mercuric oxide and nitrates in 1771, but did not publish his findings until 1777.<br><br>Joseph Priestley also prepared this new air by 1774.<br><br>The name oxygen was coined in 1777 by Antoine Lavoisier, whose experiments with oxygen helped to discredit the then-popular phlogiston theory of combustion and corrosion.	Carl Wilhelm Scheele mendapat oksigen dengan memanaskan oksida merkuri dan nitrat pada tahun 1771, tetapi tidak menerbitkan penemuan beliau sehingga tahun 1777.<br><br>Joseph Priestley juga menyediakan udara baru ini menjelang tahun 1774.<br><br>Nama oksigen diwujudkan pada tahun 1777 oleh Antoine Lavoisier, yang eksperimennya dengan oksigen membantu mendiskreditkan teori flogiston pembakaran dan kakisan yang popular ketika itu.
Fluorine	In 1529, Georigius Agricola described the use of fluorspar as a flux.<br><br>In 1670 Heinrich Schwandhard found that glass was etched when exposed to fluorspar treated with acid.<br><br>In 1810, French scientist Andre-Marie Ampere proposed that fluoric acid was a compound of hydrogen with a new element.<br><br>The element was finally isolated in 1886 by Henri Moissan.	Pada tahun 1529, Georigius Agricola menerangkan penggunaan fluorspar sebagai fluks.<br><br>Pada tahun 1670, Heinrich Schwandhard mendapati bahawa kaca terukir apabila terdedah kepada fluorspar yang dirawat dengan asid.<br><br>Pada tahun 1810, saintis Perancis Andre-Marie Ampere mencadangkan bahawa asid fluorik adalah sebatian hidrogen dengan unsur baru.<br><br>Unsur ini akhirnya diasingkan pada tahun 1886 oleh Henri Moissan.
Neon	Neon was discovered in 1898 by the British chemists Sir William Ramsay and Morris W. Travers in London.<br><br>It was discovered when Ramsay chilled a sample of air until it became a liquid, then warmed the liquid and captured the gases as they boiled off.<br><br>After 1902, Georges Claude's company, Air Liquide, was producing industrial quantities of neon as a byproduct of his air liquefaction business.	Neon ditemui pada tahun 1898 oleh ahli kimia British Sir William Ramsay dan Morris W. Travers di London.<br><br>Ia ditemui apabila Ramsay mendinginkan sampel udara sehingga menjadi cecair, kemudian memanaskan cecair tersebut dan menangkap gas-gas yang mendidih.<br><br>Selepas tahun 1902, syarikat Georges Claude, Air Liquide, menghasilkan kuantiti neon industri sebagai produk sampingan perniagaan pengewapan udara beliau.
Sodium	The chemical abbreviation for sodium was first published by Jöns Jakob Berzelius in his system of atomic symbols.<br><br>It is a contraction of the element's new Latin name <i>natrium</i>, which refers to the Egyptian <i>natron</i>, a natural mineral salt primarily made of hydrated sodium carbonate.<br><br>In 1807, Sir Humphry Davy isolated sodium for the first time by electrolysis of dried sodium hydroxide, which had been very slightly moistened.	Singkatan kimia untuk natrium pertama kali diterbitkan oleh Jöns Jakob Berzelius dalam sistem simbol atomnya.<br><br>Ia merupakan singkatan nama Latin baru unsur ini iaitu <i>natrium</i>, yang merujuk kepada <i>natron</i> Mesir, garam mineral semula jadi yang terutamanya terbuat daripada natrium karbonat terhidrat.<br><br>Pada tahun 1807, Sir Humphry Davy mengasingkan natrium buat kali pertama melalui elektrolisis natrium hidroksida kering yang telah sedikit dilembapkan.
Magnesium	Scottish chemist Joseph Black recognized magnesium as an element in 1755.<br><br>Magnesium was first isolated by Sir Humphry Davy in 1808, in London.<br><br>He used electrolysis on a mixture of magnesia and mercuric oxide.<br><br>Antoine Bussy prepared it in coherent form in 1831.	Ahli kimia Scotland Joseph Black mengiktiraf magnesium sebagai unsur pada tahun 1755.<br><br>Magnesium pertama kali diasingkan oleh Sir Humphry Davy pada tahun 1808, di London.<br><br>Beliau menggunakan elektrolisis pada campuran magnesia dan oksida merkuri.<br><br>Antoine Bussy menyediakannya dalam bentuk padu pada tahun 1831.
Aluminium	In 1761, Guyton de Morveau proposed the name alumine for the base in alum, and Antoine Lavoisier, in 1787, thought this to be the oxide of a still undiscovered metal.<br><br>Sir Humphry Davy identified the existence of a metal base of alum in 1808.<br><br>Hans Christian Ørsted was the first to isolate metallic aluminum in 1825 in impure form.<br><br>Friedrich Wöhler is generally credited with having isolated the metal in 1827.	Pada tahun 1761, Guyton de Morveau mencadangkan nama alumine untuk bes dalam alum, dan Antoine Lavoisier pada tahun 1787 menganggap ini sebagai oksida logam yang belum ditemui.<br><br>Sir Humphry Davy mengenal pasti kewujudan asas logam alum pada tahun 1808.<br><br>Hans Christian Ørsted adalah yang pertama mengasingkan aluminium logam dalam bentuk tidak tulen pada tahun 1825.<br><br>Friedrich Wöhler umumnya dikreditkan kerana telah mengasingkan logam pada tahun 1827.
Silicon	In 1800, Sir Humphry Davy thought silica to be a compound and not an element; but in 1811, Gay Lussac and Louis Jacques Thénard probably prepared impure amorphous silicon by heating potassium with silicon tetrafluoride.<br><br>In 1824 Jöns Jakob Berzelius prepared amorphous silicon by the same general method.<br><br>Henri Deville in 1854 first prepared crystalline silicon, the second allotropic form of the element.	Pada tahun 1800, Sir Humphry Davy menganggap silika sebagai sebatian dan bukan unsur; tetapi pada tahun 1811, Gay Lussac dan Louis Jacques Thénard mungkin telah menyediakan silikon amorfus tidak tulen dengan memanaskan kalium dengan silikon tetrafluorida.<br><br>Pada tahun 1824, Jöns Jakob Berzelius menyediakan silikon amorfus dengan kaedah umum yang sama.<br><br>Henri Deville pada tahun 1854 pertama kali menyediakan silikon kristal, bentuk alotropik kedua unsur tersebut.
Phosphorus	Hennig Brand discovered phosphorus in 1669, in Hamburg, Germany, preparing it from urine.<br><br>In 1769, Johan Gottlieb Gahn and Carl Wilhelm Scheele showed that calcium phosphate is found in bones, and they obtained elemental phosphorus from bone ash.<br><br>Antoine Lavoisier recognized phosphorus as an element in 1777.	Hennig Brand menemui fosforus pada tahun 1669, di Hamburg, Jerman, menyediakannya daripada air kencing.<br><br>Pada tahun 1769, Johan Gottlieb Gahn dan Carl Wilhelm Scheele menunjukkan bahawa kalsium fosfat terdapat dalam tulang, dan mereka memperoleh fosfor unsur daripada abu tulang.<br><br>Antoine Lavoisier mengiktiraf fosforus sebagai unsur pada tahun 1777.
Sulfur	By the 3rd century, the Chinese discovered that sulfur could be extracted from pyrite.<br><br>Indian alchemists wrote extensively about the use of sulfur in alchemical operations with mercury, from the eighth century AD onwards.<br><br>In 1777, Antoine Lavoisier helped convince the scientific community that sulfur was an element, not a compound.	Menjelang abad ke-3, orang Cina mendapati bahawa sulfur boleh diekstrak daripada pirit.<br><br>Ahli alkimia India menulis secara meluas tentang penggunaan sulfur dalam operasi alkimia dengan raksa, dari abad kelapan Masihi dan seterusnya.<br><br>Pada tahun 1777, Antoine Lavoisier membantu meyakinkan komuniti saintifik bahawa sulfur adalah unsur, bukan sebatian.
Chlorine	Around 1630, chlorine was recognized as a gas by the Belgian chemist and physician Jan Baptist van Helmont.<br><br>Elemental chlorine was first prepared and studied in 1774 by Swedish chemist Carl Wilhelm Scheele.<br><br>By 1810, the scientific consensus was that chlorine was actually a compound that contained oxygen.<br><br>In 1811, Sir Humphry Davy concluded the new gas was in fact a new element.	Sekitar tahun 1630, klorin diiktiraf sebagai gas oleh ahli kimia dan doktor Belgium Jan Baptist van Helmont.<br><br>Klorin unsur pertama kali disediakan dan dikaji pada tahun 1774 oleh ahli kimia Sweden Carl Wilhelm Scheele.<br><br>Menjelang tahun 1810, konsensus saintifik adalah bahawa klorin sebenarnya adalah sebatian yang mengandungi oksigen.<br><br>Pada tahun 1811, Sir Humphry Davy menyimpulkan bahawa gas baru itu sebenarnya adalah unsur baru.
Argon	Argon was suspected to be present in air by Henry Cavendish in 1785.<br><br>It was not isolated until 1894 by Lord Rayleigh and Sir William Ramsay in Scotland.<br><br>Argon became the first member of the noble gases to be discovered.<br><br>In 1957, IUPAC agreed that the symbol should change from A to Ar.	Argon disyaki hadir dalam udara oleh Henry Cavendish pada tahun 1785.<br><br>Ia tidak diasingkan sehingga tahun 1894 oleh Lord Rayleigh dan Sir William Ramsay di Scotland.<br><br>Argon menjadi ahli pertama gas mulia yang ditemui.<br><br>Pada tahun 1957, IUPAC bersetuju bahawa simbol harus berubah daripada A kepada Ar.
